Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-09-2021 15:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
1,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",27.00
2,,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",35.00
3,,Tirupati,"Tirumala, Tirupati - APPCB",Insufficient data available in last 24 hours.
4,,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",78.00
5,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",51.00
6,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",88.00
7,,,"Railway Colony, Guwahati - APCB",Insufficient data available in last 24 hours.
8,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",No data available in Last 24 hour.
9,,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",No data available in Last 24 hour.
10,,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",No data available in Last 24 hour.
11,,Gaya,"Collectorate, Gaya - BSPCB",62.00
12,,,"SFTI Kusdihra, Gaya - BSPCB",61.00
13,,Hajipur,"Industrial Area, Hajipur - BSPCB",Insufficient data available in last 24 hours.
14,,Motihari,"Gandak Colony, Motihari - BSPCB",No data available in Last 24 hour.
15,,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",Insufficient data available in last 24 hours.
16,,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",No data available in Last 24 hour.
17,,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",49.00
18,,Patna,"DRM Office Danapur, Patna - BSPCB",60.00
19,,,"Govt. High School Shikarpur, Patna - BSPCB",43.00
20,,,"IGSC Planetarium Complex, Patna - BSPCB",No data available in Last 24 hour.
21,,,"Muradpur, Patna - BSPCB",49.00
22,,,"Rajbansi Nagar, Patna - BSPCB",53.00
23,,,"Samanpura, Patna - BSPCB",54.00
24,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",38.00
25,,,"Sector-25, Chandigarh - CPCC",37.00
26,Delhi,Delhi,"Alipur, Delhi - DPCC",35.00
27,,,"Anand Vihar, Delhi - DPCC",91.00
28,,,"Ashok Vihar, Delhi - DPCC",70.00
29,,,"Aya Nagar, Delhi - IMD",43.00
30,,,"Bawana, Delhi - DPCC",Insufficient data available in last 24 hours.
31,,,"Burari Crossing, Delhi - IMD",No data available in Last 24 hour.
32,,,"CRRI Mathura Road, Delhi - IMD",113.00
33,,,"Chandni Chowk, Delhi - IITM",132.00
34,,,"DTU, Delhi - CPCB",43.00
35,,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",61.00
36,,,"Dwarka-Sector 8, Delhi - DPCC ",56.00
37,,,"IGI Airport (T3), Delhi - IMD",103.00
38,,,"IHBAS, Dilshad Garden, Delhi - CPCB",72.00
39,,,"ITO, Delhi - CPCB",69.00
40,,,"Jahangirpuri, Delhi - DPCC",56.00
41,,,"Jawaharlal Nehru Stadium, Delhi - DPCC",62.00
42,,,"Lodhi Road, Delhi - IITM",50.00
43,,,"Lodhi Road, Delhi - IMD",62.00
44,,,"Major Dhyan Chand National Stadium, Delhi - DPCC",70.00
45,,,"Mandir Marg, Delhi - DPCC",63.00
46,,,"Mundka, Delhi - DPCC",46.00
47,,,"NSIT Dwarka, Delhi - CPCB",59.00
48,,,"Najafgarh, Delhi - DPCC",51.00
49,,,"Narela, Delhi - DPCC",89.00
50,,,"Nehru Nagar, Delhi - DPCC",63.00
51,,,"North Campus, DU, Delhi - IMD",54.00
